OPERATOR ID                   Organization
000023                        Asiaspace WiMAX Sdn. Bhd.
00000B                        Solectek Corporation
000005                        HDRR
00001A                        VTR Banda Ancha (Chile) S.A.
00001B                        Globe Telecom
000016                        Monzoon Networks AG
000107                        Wisper ISP
000105                        Global Broadband Solution SPRL
0000AB                        Simplexity
0000A3                        COTE D IVOIRE TELECOM
000057                        Sky Network Private Limited
00005B                        Banglalion Communications Ltd.
00005F                        CaribeServe.net
000062                        NuevaTel PCS De Bolivia
000058                        Obihiro City Cable, Inc.
000087                        Best Buy Connect
000085                        DGM(BBNW), Bangalore,  O/o GM(BBNW) Bharat Sanchar Nigam Limited (BSNL)
000068                        Open Joint Stock Company Soyuz-Telecom
00006D                        Digicel Cayman
000076                        PT Berca Global Access
00008E                        Areeba Guinea
000041                        Vermont Telephone Company
00003D                        Yota de Nicaragua, S.A.
000061                        Bolloré Telecom
000065                        Smart Communications
000072                        GSM Kazakhstan OJSC Kazakhtelecom LLP
00004B                        Etihad Etisalat Company
000034                        Time Warner Cable, LLC
00003E                        Sioux Valley Wireless
000028                        Aria S.p.A.
000029                        JSC COMSTAR - United TeleSystems
000004                        Clearwire Corporation
000003                        Société du Haut Débit (SHD)
000018                        WorldMax Operations B.V.
00001D                        DBD Deutsche Breitband Dienste GmbH
00001F                        Freedom4 Ltd
00000F                        Wi-Tribe Limited
000064                        Eolo SpA
000106                        SIS Sat Internet Services GmbH
000104                        EarthLink, Inc.
000102                        Redwood County Telephone, d.b.a. Arvig
0000AF                        LLC TTK-Svyaz
0000AC                        RC Technologies
0000A6                        Nu Informationssysteme Gmbh
0000A5                        NetZero Wireless, Inc.
0000A2                        Bryan Independent School District
000098                        Reinan Cable Network Co. Ltd.
00007D                        Rocky Mountain Broadband, LLC
00006B                        Itochu Techno-Solution Corporation
000066                        Open Wireless Platform, LLC
00005E                        MTN Côte d'Ivoire
000071                        Alcatel-Lucent
000088                        Haiti Networking Group S.A.
00007F                        Full Stream, LLC.
000081                        Datame Oy
00006C                        Valley Technologies (Pvt) Ltd
000053                        NTT Communications Corporation
00004A                        UMD Maxwell Lab
00004D                        Wimax Forum
000045                        Adam Internet Pty Ltd
000031                        Comcast Cable
000033                        Time Warner Cable, LLC
000063                        Omani Qatari Telecommunication Co. SAOC (NAWRAS)
000044                        Alpha Tel S.A.
000002                        Clearwire Corporation
000008                        Moline Dispatch Publishing Company
000019                        Etihad Atheeb Telecommunications
000013                        Menatelecom
000014                        UQ Communications Inc.
000017                        WorldMax Operations B.V.
00000C                        WiMax Telecom AG
000001                        NextWave Broadband, Inc.
0000A9                        Telefonica Celular del Paragua S.A.
0000A1                        Government of Guyana
