OPERATOR ID                   Organization
000027                        Intel Corporation
000025                        DigitalBridge Communications
000023                        Asiaspace WiMAX Sdn. Bhd.
000016                        Monzoon Networks AG
00001A                        VTR Banda Ancha (Chile) S.A.
000107                        Wisper ISP
000105                        Global Broadband Solution SPRL
0000AB                        Simplexity
0000A3                        COTE D IVOIRE TELECOM
000076                        PT Berca Global Access
000057                        Sky Network Private Limited
00005B                        Banglalion Communications Ltd.
00005F                        CaribeServe.net
000062                        NuevaTel PCS De Bolivia
000087                        Best Buy Connect
000085                        DGM(BBNW), Bangalore,  O/o GM(BBNW) Bharat Sanchar Nigam Limited (BSNL)
00008E                        Areeba Guinea
000058                        Obihiro City Cable, Inc.
000072                        GSM Kazakhstan OJSC Kazakhtelecom LLP
000061                        Bolloré Telecom
000065                        Smart Communications
00006D                        Digicel Cayman
000068                        Open Joint Stock Company Soyuz-Telecom
000041                        Vermont Telephone Company
00003D                        Yota de Nicaragua, S.A.
00003E                        Sioux Valley Wireless
000029                        JSC COMSTAR - United TeleSystems
00004B                        Etihad Etisalat Company
000034                        Time Warner Cable, LLC
000028                        Aria S.p.A.
00001F                        Freedom4 Ltd
000003                        Société du Haut Débit (SHD)
000018                        WorldMax Operations B.V.
00001D                        DBD Deutsche Breitband Dienste GmbH
00000F                        Wi-Tribe Limited
000004                        Clearwire Corporation
000064                        Eolo SpA
000106                        SIS Sat Internet Services GmbH
000104                        EarthLink, Inc.
000102                        Redwood County Telephone, d.b.a. Arvig
0000AF                        LLC TTK-Svyaz
0000AC                        RC Technologies
0000A6                        Nu Informationssysteme Gmbh
0000A5                        NetZero Wireless, Inc.
0000A2                        Bryan Independent School District
000098                        Reinan Cable Network Co. Ltd.
00006C                        Valley Technologies (Pvt) Ltd
00007F                        Full Stream, LLC.
00007D                        Rocky Mountain Broadband, LLC
00005E                        MTN Côte d'Ivoire
000066                        Open Wireless Platform, LLC
00006B                        Itochu Techno-Solution Corporation
000071                        Alcatel-Lucent
000063                        Omani Qatari Telecommunication Co. SAOC (NAWRAS)
00004A                        UMD Maxwell Lab
00004D                        Wimax Forum
000045                        Adam Internet Pty Ltd
000088                        Haiti Networking Group S.A.
000081                        Datame Oy
000031                        Comcast Cable
000033                        Time Warner Cable, LLC
000013                        Menatelecom
000014                        UQ Communications Inc.
000017                        WorldMax Operations B.V.
00000C                        WiMax Telecom AG
000001                        NextWave Broadband, Inc.
000044                        Alpha Tel S.A.
000019                        Etihad Atheeb Telecommunications
000002                        Clearwire Corporation
000008                        Moline Dispatch Publishing Company
000053                        NTT DOCOMO BUSINESS, Inc.
0000A9                        Telefonica Celular del Paragua S.A.
0000A1                        Government of Guyana
00009C                        New Generation Graphics Limited
000097                        Intercellular Nigeria PLC
000083                        Barrett Xplore, Inc.
000086                        4G Africa AG
00008A                        Umniah Mobile Company
000093                        BVCNET
000092                        ZAPP.pt (registered as mobiZAPP -Com. Electronics SA)
00008F                        Spectranet Ltd.
000091                        Ariana Network Service
00008C                        Swift Networks LTD 
00007B                        Mobitel Limited, Nigeria
000078                        Nokia Siemens Networks.
000077                        MultiLink S.A.
00005D                        Yota Bel LLC
000080                        OLO DEL PERU S.A.C
000084                        Viti SAS
00007E                        CosmoAir, LTD
000043                        N1 Communications
00003A                        Open Range Communications
00006A                        Gulfsat Madagascar
000067                        Callplus Services Limited
000070                        mada commnications
000075                        QMAX Communications Pte, Ltd. 
00005A                        Wind Telecom
00005C                        Altitude Infrastructure
000051                        Â 7netlayers
000050                        Vee Telecom Multimedia Co. Ltd.
000052                        Direct on PC Limited
000056                        First International Telecom Corporation (FITEL)
00004F                        Aksoran LLC
000048                        Main Street Broadband
000040                        YTL Communications SDN BHD
00002A                        Axione
000032                        InterProekt
000030                        Comcast Cable
00002C                        SC Lithuanian Radio & TV Center
000021                        Grid Net
000011                        MIRS Communications Ltd
00001E                        DBD Deutsche Breitband Dienste GmbH
000020                        Linkem Spa
00001C                        â€œMMDS-Ukraineâ€ LLC 
00000E                        Wi-Tribe Limited
000010                        Axtel S.A.B. de C.V.
000007                        Clearwire Corporation
